861,1084197093,8
7326,1132131249,0
8499,533893269,6
8506,1135271240,8
4054,1075788758,6
3624,950955524,6
2270,1122212503,2
935,1019838009,6
4954,1156064689,3
140,631073589,4
7993,509993510,2
2439,1052994265,9
8917,1089805466,1
4304,1135641245,8
7162,949255899,6
6261,1141096674,0
4957,1096456908,3
336,1056988026,0
7944,1064989970,1
5793,1001425491,8
7779,466659311,1
8868,1091982350,2
3501,998179061,0
1913,1156745120,9
5481,1078214852,7
2960,497936366,8
939,1003680704,5
2210,933921849,6
1191,632532659,4
1521,344542975,2
4422,1148177808,6
3066,569632660,1
4716,1064804700,0
8198,328415391,2
8016,953426154,5
1617,1105390093,8
4328,1134424003,8
310,1148861011,0
8744,950608825,1
6563,1072590438,2
8092,1010587367,8
1075,1088124362,7
3944,915375908,8
6188,1101472953,2
9637,932721236,3
5753,1079094909,1
3672,814656403,2
1645,490655927,3
5182,374254473,6
9181,1094642753,8
1987,1132715891,7
4860,667362389,7
1819,403037266,8
3372,1137456779,8
5068,1173453031,1
4491,1073389796,7
7750,1064785404,1
9581,1042298797,1
4407,489221652,5
7247,412395632,0
2153,919087726,9
7459,1069756985,6
5116,1036129117,3
2829,977933863,9
773,1112290881,4
5675,1010518290,0
6216,1050402885,3
3996,1116006043,6
9051,435138734,9
5356,1077956331,3
3584,417817520,0
8572,1141834022,4
3758,730091131,6
2881,1124406969,0
9140,1124002302,8
3168,425996445,9
1711,1079241842,2
7608,483049169,7
5214,1031152574,9
2138,1165268547,7
532,915861546,8
9999,1117905680,7
9223,1012778321,2
1628,488818252,7
8955,1132662330,1
1603,1162062305,0
6283,1048838824,2
9284,1148469316,2
7618,1105276063,3
3461,952929696,5
6011,1077639630,5
7254,976257847,6
8012,1143930442,4
969,1018955135,3
4597,1071146166,0
9069,1017064541,2
2137,1004227662,2
4798,1123652342,1
3680,1171633960,9
4809,534568162,4
2243,878929729,1
3748,1134405673,9
3613,517329357,6
4871,1142366464,7
2952,909400466,6
589,1116116138,8
3973,1089386287,9
1424,1133898987,2
3478,941031202,0
6726,875224191,2
4542,343889987,6
6736,1105548368,4
4653,1111244638,2
8507,852318295,1
6898,1183709176,2
8423,397049430,7
5355,1067205290,3
1586,625411864,8
6349,1123920179,7
3538,566394373,0
7450,688831692,2
9780,1064676206,9
3233,619517698,6
3181,900721327,5
8772,1100624000,8
4486,1055271206,4
5666,649470858,7
1361,1116025351,7
6757,1001286466,0
9146,950170216,7
3898,1090791686,2
9101,310303959,7
838,1140396526,4
333,1030306396,2
2781,1027234261,8
1731,1116541279,5
4246,1159410526,0
4659,1097757301,0
4829,1070998254,9
2777,1035494079,9
3591,1073816197,3
3827,974529966,6
4846,1093728743,0
1705,515850648,8
7216,1049321283,6
2581,1126269043,1
4301,727296976,3
2829,324684580,9
8757,1127310124,3
1005,632827808,2
9353,1107831260,4
4994,1070615218,3
9858,1179475725,9
8969,1078967478,0
4491,1120034048,6
5753,787786130,9
7394,1068353024,5
1884,337023709,8
25,587248280,5
6391,1162914044,6
8566,1043579926,4
9559,396085661,5
558,545954932,2
9833,749124884,2
6242,639219540,4
539,599694143,8
5232,1131344092,5
4047,948618479,3
5041,1017726900,3
5371,1070142316,4
7074,1116253995,6
2532,426382105,6
685,1176492470,7
1215,1066091585,7
2287,1068110571,8
3388,504156917,4
8361,336141475,7
585,1157414269,5
3729,1142261822,0
9811,996948313,6
176,1154005499,7
7607,1111153973,7
1689,582486077,7
6262,1113500611,5
8055,378781805,7
3732,1042770650,2
3877,890354109,1
5134,1166998915,2
177,366562751,9
1942,1150735504,5
3681,1075695826,9
3001,296581815,0
9417,1137320380,7
9268,465694275,1
7245,1073862417,8
6696,985631644,2
8704,492671847,3
7418,972528394,5
9505,1111237072,4
9522,1086126576,8
5921,1073846134,9
8334,357218860,4
2825,1129124363,0
8267,1124845514,4
4922,333263435,3
2963,1049602254,3
6481,1134878533,3
412,730878935,7
8694,1088124362,0
6600,1169545955,9
6879,1077024869,9
5323,1138607034,2
7013,875678772,1
8167,1059827476,5
4167,1086300912,7
4273,1062425347,4
2814,1129234419,2
1669,1065271333,0
7806,1181616006,6
9060,465694275,3
2014,895913573,2
3437,967912296,0
8004,1120437406,3
685,1050062943,5
6717,446079916,0
6564,1112581561,6
4514,1053285387,1
4939,993605516,5
4942,860011430,5
2958,329703516,9
7477,945434433,3
3818,1121092461,0
3944,1137585657,7
6177,1053734900,6
8384,469343097,7
1840,924813230,4
9398,462193801,5
1699,1099293416,3
2447,1080880805,8
3005,669196929,3
2902,1114463116,2
365,1140451547,9
6862,1102814563,2
3740,343200656,6
6807,544610422,5
5502,426415634,8
4472,286911400,2
382,942443714,9
197,1150315957,1
4836,1139097560,5
2,396837225,6
9177,583066190,6
4026,1078057713,1
7724,1148138918,4
6296,1150132840,9
3097,1127440445,8
4791,948089675,4
7153,914471589,2
4673,1166783731,2
8719,1061867159,9
6884,716932895,3
3606,694047660,5
1472,714463714,2
6091,1167315869,6
2708,700970012,0
3745,422366403,6
9322,416457422,1
9376,1094691387,3
5423,1139661422,1
9654,1058274409,5
5843,1126689285,8
8433,1113923256,9
4858,1090464802,0
3954,519952689,5
9997,1123298223,6
4248,1127626060,1
7348,1142348885,4
7527,1105790805,4
6865,1058844727,5
170,1160062778,2
5708,495130365,8
5983,1117251643,0
7362,504170504,8
3308,1091215595,7
9901,1077188355,9
3365,931381852,3
8319,1014907403,2
6835,946168827,8
9390,1080947654,4
4722,923555295,0
2364,948781148,1
3963,908142292,1
3249,1172155464,4
6016,1021368752,2
5204,981888264,4
4222,994933845,1
6005,1085539747,4
235,1057961675,7
5931,945434433,5
7835,1042195779,0
5739,1112861301,1
5093,1176875793,8
7375,1086896901,9
4569,539587329,3
6017,1095003754,4
7019,1120494102,1
5913,1108583427,2
4949,290807369,7
