"user","id","rating"
428818,905488045,9
841215,1082554412,5
432940,1128207629,7
858796,1127273697,7
937567,582934943,7
389045,532046195,5
879687,587823548,8
749178,393860580,3
873617,841643980,7
239570,1099152229,5
794084,899515785,4
670502,1086625206,8
248921,504001448,8
418866,1047401939,5
282140,1071770573,4
549716,1148068426,9
80629,652039347,6
308909,1066156956,5
571658,1061029341,7
611875,988476572,1
364153,968016877,4
955684,583672052,2
729915,1180403131,7
290431,835599320,9
910139,986420993,3
608822,1080290867,3
53979,1087441725,3
408317,1088580204,2
846142,1030522460,3
336664,417817520,7
378273,1097998313,7
466225,1064165938,4
449951,906609509,5
372271,369694661,2
411787,720087913,9
22057,512939461,1
136162,899997582,8
754085,1084197093,3
455276,805869467,6
224381,500108743,7
125064,1146138135,2
203483,1067766579,9
213743,1141341835,1
427036,1090564726,3
595122,1039753434,3
861400,511136749,8
419496,933464392,0
434362,776132132,9
956726,951364656,5
968832,522008611,0
963070,367722531,6
902182,1170395210,0
577202,895687962,7
972096,1107822876,5
918787,1148435076,6
870220,980132410,0
121812,776060909,0
916593,1077142297,4
891605,1113058115,6
630599,1123481457,0
587033,1159278349,2
145265,1133064144,8
538077,316227296,3
675137,916215494,2
20815,1067720154,7
389109,577363831,9
155617,1109491347,8
993948,1150989692,3
548655,1011193872,4
573064,1144842997,4
882808,488627858,9
454982,1093784264,6
164730,909480609,5
207901,1062825806,7
45602,1073816197,2
162407,636240052,0
385580,1005468883,2
305589,1104986393,5
307356,997224811,1
824723,910208432,2
41819,1038793874,8
895146,1169817856,3
182476,1065480798,0
688900,656773485,4
669064,359891723,6
143820,1105846912,5
294237,473596157,2
431835,1090577736,2
750962,1128326130,7
647174,919218502,5
94914,334855322,9
261148,1072050803,2
99093,1151506903,7
274589,940508574,1
727911,1145500015,8
96405,1009702618,6
565192,1004310908,6
374784,1086937448,1
195253,1054311818,3
652348,992879171,2
168195,288419283,0
53743,935528099,4
994046,595098366,0
133058,978352903,7
616466,1092003965,0
921294,531325150,0
982016,1144057087,7
829197,700970012,3
82743,305343404,0
855734,1011806461,5
820374,881267423,8
296164,938571723,6
425500,1087273941,6
675897,1051326718,4
121551,970202342,8
164089,1076907164,4
188514,1018743724,6
772684,477091899,8
61426,1148855853,7
960124,952561811,5
331738,335709058,8
303984,1046621147,8
285710,1068081729,8
707488,965462947,4
846757,1063211448,5
789855,1065221752,6
513238,993103998,3
565468,436555490,7
636147,1139254110,9
565895,472006138,9
228111,1105805539,6
339947,1072578285,0
251914,1119179399,4
526814,1179316275,2
96640,1078170269,0
927423,290986013,2
630057,1123434406,2
