"user","id","rating"
269476,669297021,6
279167,1051573241,0
107542,1141588161,7
846506,852801905,2
468951,429851711,8
40581,1125255852,2
456070,1009075477,6
230982,1039249521,9
322772,981903698,0
557798,376202925,1
198887,965462947,2
263730,727466621,7
383264,1068419726,1
543833,337402021,7
852349,1112081391,4
256542,1140349628,3
555198,992140314,6
95720,1114288419,5
560741,610386042,6
497604,1078083532,7
276512,1055714800,7
767997,1094429166,6
102783,1051581301,7
280708,1088581210,2
997048,968961984,0
682445,1030395486,6
212684,376183339,2
517409,1112431170,7
499962,1053533457,3
845210,1169366558,1
776554,1089299986,5
65555,1115873398,5
525732,1128062639,6
45750,1020487660,8
304905,1004539546,2
982605,1060085133,4
738892,411766326,7
592526,297244048,3
438901,577232024,1
955253,1091986022,5
767202,1086577498,6
311343,1078916150,2
648322,1146320033,7
546319,1147424561,9
250829,361012392,9
771135,1110286206,0
288391,515114051,9
935483,1071167224,6
433685,1099862552,4
697614,1114434026,7
846283,474807486,8
722629,1058779257,1
208430,1039715745,6
678326,1113951727,9
82103,1131616102,7
14608,923947429,7
143136,1084144010,8
156845,1096055223,8
815687,1088767558,9
179618,1023126431,9
745116,1054619678,2
728746,1134346699,7
231045,1143169940,0
730174,902062673,4
788838,937258914,2
318632,918997182,0
693202,1044534100,3
608660,1095572547,0
50708,1144842997,9
915268,1170364485,0
700367,1102664451,9
50395,1076683233,8
78847,541499722,2
10534,1068058087,8
434634,1180914367,1
590131,1118431695,9
34369,398436747,7
427550,517989834,4
276922,773126820,5
859568,1051581301,6
306482,872424895,6
660719,369266386,7
267789,1017186083,3
308586,881267423,6
770301,369849199,9
245720,1135518490,5
842898,1041873285,8
297956,1178322253,9
232645,1116882930,1
387070,281796108,1
279012,1078584468,0
147392,1073027092,6
45897,821399915,5
789506,1078584468,7
971730,1147580960,9
754926,977491503,6
801720,1138819531,2
101234,1174046886,8
947946,1184107468,7
739366,945177811,5
516899,1132539563,1
153299,1064793352,4
322590,951647027,5
324601,1090447165,2
91671,1146320033,4
227384,958635569,1
366788,1071712425,9
886548,364159440,9
214166,1108697438,8
775632,1050162071,0
748384,1056668779,1
108904,952658953,2
259072,1130908842,8
902778,1115978213,4
387717,516875543,0
9960,974549998,5
790156,1152635217,4
934165,988296409,6
257767,955962995,7
614592,1081335968,3
54324,1076431520,5
580896,398436747,1
448839,948861271,0
952292,871235562,0
528021,1037601932,3
19390,942990867,4
629743,1096456908,5
692336,1120622647,4
509706,1038866266,6
608338,1051434604,7
377720,1092377347,8
629342,1100110635,1
481180,1107511443,5
794733,1157800543,4
570622,1186827808,0
404270,1118809516,3
310270,497716362,2
382986,1124721055,9
239704,1052710531,6
693676,398975927,1
700740,963929502,6
787781,667819594,3
99468,814466047,6
239654,1063210798,8
959413,700793523,7
241398,575487269,9
156356,1077639630,5
378506,341036067,5
644927,1117306410,2
316867,568939466,0
13732,616655687,8
429663,1180931796,1
811578,1141792757,7
609099,649202100,4
622359,1093430283,9
337609,634158738,9
425218,1058355648,0
370570,1083834924,0
746353,1042299727,2
259616,1009134067,6
236511,871458763,6
178669,593828513,3
545583,1148435080,8
507825,965119359,8
670811,357404131,7
292900,1054355169,6
687480,1113951727,5
749584,465694275,0
709099,1057119275,1
876224,1114434515,9
599029,1087232522,2
627713,1114710947,6
605803,566504735,1
738886,954751394,8
255051,1115156883,1
943428,1018645161,8
841410,1023663634,4
243593,926366251,4
51310,373909230,3
847491,1067596534,7
212688,1050973882,0
853358,859204347,5
104506,1070495908,7
886760,1010999283,7
439819,838848566,3
57905,358055270,8
142627,897331650,9
349560,1017232951,5
304396,1097005269,9
193494,592447445,4
849155,1078532112,6
677543,655619282,7
888313,1132645243,4
596908,391855805,1
26620,1078532112,1
898809,1130630397,2
962419,1160056295,1
96256,383298204,9
67839,1151001471,7
343901,1092463295,3
500156,1073828708,7
287899,1056813463,9
371217,1037830332,2
996755,1147527845,8
415164,1088540036,0
694541,1060386658,1
536717,1073129594,7
578130,1080533223,1
775556,1118878857,2
950212,1080883478,8
547300,1066418790,0
699724,1094977269,2
499046,773257897,2
158068,1176931712,3
449574,1093094341,7
318546,1062550397,9
668456,1133510322,5
395171,1161641255,0
471051,1148013675,8
783829,434832826,3
128594,975955904,6
320036,1116553862,2
943375,1045164931,2
984562,639615384,3
178226,1073602039,4
333667,1092653320,7
876661,842627890,9
83674,407262212,9
929355,283619399,0
23967,1117784764,7
808357,570103834,7
706158,1108092582,4
412421,1139127605,6
763967,1060085514,4
436770,911334571,6
420291,1078083532,0
